match_number,home_team,away_team,group,stage,stadium,match_date
53,Czechia,Mexico,Group A,Group Stage,Mexico City Stadium,2026-06-24
54,South Africa,Korea Republic,Group A,Group Stage,Estadio Monterrey,2026-06-24
55,Curaçao,Côte d'Ivoire,Group E,Group Stage,Philadelphia Stadium,2026-06-25
56,Ecuador,Germany,Group E,Group Stage,New York New Jersey Stadium,2026-06-25
57,Japan,Sweden,Group F,Group Stage,Dallas Stadium,2026-06-25
58,Tunisia,Netherlands,Group F,Group Stage,Kansas City Stadium,2026-06-25
59,Türkiye,USA,Group D,Group Stage,Los Angeles Stadium,2026-06-25
60,Paraguay,Australia,Group D,Group Stage,San Francisco Bay Area Stadium,2026-06-25
61,Norway,France,Group I,Group Stage,Boston Stadium,2026-06-26
62,Senegal,Iraq,Group I,Group Stage,Toronto Stadium,2026-06-26
63,Egypt,IR Iran,Group G,Group Stage,Seattle Stadium,2026-06-26
64,New Zealand,Belgium,Group G,Group Stage,BC Place Vancouver,2026-06-26
65,Cabo Verde,Saudi Arabia,Group H,Group Stage,Houston Stadium,2026-06-26
66,Uruguay,Spain,Group H,Group Stage,Estadio Guadalajara,2026-06-26
67,Panama,England,Group L,Group Stage,New York New Jersey Stadium,2026-06-27
68,Croatia,Ghana,Group L,Group Stage,Philadelphia Stadium,2026-06-27
69,Algeria,Austria,Group J,Group Stage,Kansas City Stadium,2026-06-27
70,Jordan,Argentina,Group J,Group Stage,Dallas Stadium,2026-06-27
71,Colombia,Portugal,Group K,Group Stage,Miami Stadium,2026-06-27
72,Congo DR,Uzbekistan,Group K,Group Stage,Atlanta Stadium,2026-06-27
73,Group A runners-up,Group B runners-up,,Round of 32,Los Angeles Stadium,2026-06-28
74,Group E winners,Group A/B/C/D/F third place,,Round of 32,Boston Stadium,2026-06-29
75,Group F winners,Group C runners-up,,Round of 32,Estadio Monterrey,2026-06-29
76,Group C winners,Group F runners-up,,Round of 32,Houston Stadium,2026-06-29
77,Group I winners,Group C/D/F/G/H third place,,Round of 32,New York New Jersey Stadium,2026-06-30
78,Group E runners-up,Group I runners-up,,Round of 32,Dallas Stadium,2026-06-30
79,Group A winners,Group C/E/F/H/I third place,,Round of 32,Mexico City Stadium,2026-06-30
80,Group L winners,Group E/H/I/J/K third place,,Round of 32,Atlanta Stadium,2026-07-01
81,Group D winners,Group B/E/F/I/J third place,,Round of 32,San Francisco Bay Area Stadium,2026-07-01
82,Group G winners,Group A/E/H/I/J third place,,Round of 32,Seattle Stadium,2026-07-01
83,Group K runners-up,Group L runners-up,,Round of 32,Toronto Stadium,2026-07-02
84,Group H winners,Group J runners-up,,Round of 32,Los Angeles Stadium,2026-07-02
85,Group B winners,Group E/F/G/I/J third place,,Round of 32,BC Place Vancouver,2026-07-02
86,Group J winners,Group H runners-up,,Round of 32,Miami Stadium,2026-07-03
87,Group K winners,Group D/E/I/J/L third place,,Round of 32,Kansas City Stadium,2026-07-03
88,Group D runners-up,Group G runners-up,,Round of 32,Dallas Stadium,2026-07-03
89,Winner Match 74,Winner Match 77,,Round of 16,Philadelphia Stadium,2026-07-04
90,Winner Match 73,Winner Match 75,,Round of 16,Houston Stadium,2026-07-04
91,Winner Match 76,Winner Match 78,,Round of 16,New York New Jersey Stadium,2026-07-05
92,Winner Match 79,Winner Match 80,,Round of 16,Mexico City Stadium,2026-07-05
93,Winner Match 83,Winner Match 84,,Round of 16,Dallas Stadium,2026-07-06
94,Winner Match 81,Winner Match 82,,Round of 16,Seattle Stadium,2026-07-06
95,Winner Match 86,Winner Match 88,,Round of 16,Atlanta Stadium,2026-07-07
96,Winner Match 85,Winner Match 87,,Round of 16,BC Place Vancouver,2026-07-07
97,Winner Match 89,Winner Match 90,,Quarter-Final,Boston Stadium,2026-07-09
98,Winner Match 93,Winner Match 94,,Quarter-Final,Los Angeles Stadium,2026-07-10
99,Winner Match 91,Winner Match 92,,Quarter-Final,Miami Stadium,2026-07-11
100,Winner Match 95,Winner Match 96,,Quarter-Final,Kansas City Stadium,2026-07-11
101,Winner Match 97,Winner Match 98,,Semi-Final,Dallas Stadium,2026-07-14
102,Winner Match 99,Winner Match 100,,Semi-Final,Atlanta Stadium,2026-07-15
103,Runner-up Match 101,Runner-up Match 102,,Bronze Final,Miami Stadium,2026-07-18
104,Winner Match 101,Winner Match 102,,Final,New York New Jersey Stadium,2026-07-19
